pres_dem_seats,sen_dem_seats,cut_edges,pres_eg,sen_eg,latino_districts
33,37,498,0.13908334121653582,0.13671977123355133,3
33,37,498,0.13908334121653582,0.13671977123355133,3
33,37,499,0.13908334121653582,0.13671977123355133,3
33,37,499,0.13908334121653582,0.13671977123355133,3
33,37,499,0.13908334121653582,0.13671977123355133,3
33,37,497,0.13908334121653582,0.13671977123355133,2
34,37,496,0.16606557247816353,0.13671977123355133,2
34,37,490,0.16606557247816353,0.13671977123355133,2
34,37,487,0.16606557247816353,0.13671977123355133,2
34,37,484,0.16606557247816353,0.13671977123355133,2
34,37,481,0.16606557247816353,0.13671977123355133,2
34,37,481,0.16606557247816353,0.13671977123355133,2
34,37,481,0.16606557247816353,0.13671977123355133,2
34,37,474,0.16606557247816353,0.13671977123355133,2
34,37,474,0.16606557247816353,0.13671977123355133,2
34,37,472,0.16606557247816353,0.13671977123355133,2
34,37,472,0.16606557247816353,0.13671977123355133,2
34,37,467,0.16606557247816353,0.13671977123355133,3
34,37,465,0.16606557247816353,0.13671977123355133,3
34,37,467,0.16606557247816353,0.13671977123355133,3
33,37,463,0.1380723204994797,0.13671977123355133,3
33,37,464,0.1380723204994797,0.13671977123355133,3
33,37,464,0.1380723204994797,0.13671977123355133,3
33,37,461,0.1380723204994797,0.13671977123355133,3
33,37,466,0.13425882130356637,0.13671977123355133,3
33,37,459,0.13425882130356637,0.13671977123355133,3
33,37,460,0.13425882130356637,0.13671977123355133,3
33,37,460,0.13425882130356637,0.13671977123355133,3
33,38,458,0.12752262479109513,0.16820150416777288,3
33,38,460,0.12752262479109513,0.16820150416777288,3
33,38,460,0.12752262479109513,0.16820150416777288,3
33,38,463,0.12752262479109513,0.16820150416777288,3
33,38,460,0.12752262479109513,0.16820150416777288,3
33,38,460,0.12752262479109513,0.16820150416777288,3
33,38,455,0.12752262479109513,0.16820150416777288,3
33,38,450,0.12984816952038597,0.16820150416777288,3
33,38,454,0.12984816952038597,0.16820150416777288,3
33,38,456,0.12984816952038597,0.16820150416777288,3
33,38,456,0.13206729101630246,0.16820150416777288,3
33,38,457,0.1243318985904834,0.16820150416777288,3
33,38,458,0.1243318985904834,0.16820150416777288,3
33,38,457,0.1285513827137136,0.16820150416777288,3
33,38,458,0.1243318985904834,0.16820150416777288,3
33,38,456,0.1243318985904834,0.16820150416777288,3
33,38,459,0.1243318985904834,0.16820150416777288,3
33,38,458,0.1243318985904834,0.16820150416777288,3
33,38,458,0.1243318985904834,0.16820150416777288,3
33,38,459,0.1243318985904834,0.16820150416777288,3
33,38,461,0.1243318985904834,0.16820150416777288,3
33,38,461,0.1243318985904834,0.16820150416777288,3
33,38,461,0.1243318985904834,0.16820150416777288,3
34,38,459,0.14681479204111877,0.16820150416777288,3
34,38,459,0.14681479204111877,0.16820150416777288,3
34,38,462,0.14681479204111877,0.16820150416777288,3
34,38,462,0.14681479204111877,0.16820150416777288,3
34,38,461,0.14874814744741904,0.16820150416777288,3
34,38,457,0.14874814744741904,0.16820150416777288,3
34,38,456,0.14874814744741904,0.16820150416777288,3
34,38,458,0.14874814744741904,0.16820150416777288,3
34,38,460,0.14874814744741904,0.16820150416777288,3
34,38,461,0.14874814744741904,0.16820150416777288,3
34,38,461,0.14874814744741904,0.16820150416777288,3
34,38,464,0.14874814744741904,0.16820150416777288,3
34,38,462,0.14874814744741904,0.16820150416777288,3
34,38,462,0.14874814744741904,0.16820150416777288,3
33,38,463,0.12533503610506733,0.16820150416777288,3
33,38,463,0.1278635732980166,0.16820150416777288,3
33,38,464,0.1278635732980166,0.16820150416777288,3
33,38,465,0.1278635732980166,0.16820150416777288,3
33,38,464,0.1278635732980166,0.16820150416777288,3
33,38,463,0.1278635732980166,0.16820150416777288,3
33,38,461,0.1278635732980166,0.16820150416777288,3
33,38,459,0.1278635732980166,0.16820150416777288,4
33,38,459,0.1278635732980166,0.16820150416777288,4
33,38,459,0.1278635732980166,0.16820150416777288,4
32,38,457,0.10550089868508183,0.16820150416777288,4
32,38,458,0.10550089868508183,0.16820150416777288,4
32,37,463,0.10550089868508183,0.14068184075115164,4
32,37,463,0.10550089868508183,0.12651972218900795,4
32,37,463,0.10550089868508183,0.12651972218900795,4
32,37,460,0.10550089868508183,0.12651972218900795,4
32,37,458,0.10550089868508183,0.12651972218900795,4
31,37,455,0.07895224355942358,0.12651972218900795,4
31,37,455,0.07895224355942358,0.12651972218900795,3
31,37,456,0.07895224355942358,0.13086279890318567,3
31,37,455,0.07895224355942358,0.13086279890318567,3
31,37,457,0.07895224355942358,0.13086279890318567,3
31,37,459,0.07895224355942358,0.13086279890318567,2
31,37,461,0.07895224355942358,0.13086279890318567,2
31,37,461,0.07895224355942358,0.13086279890318567,2
31,37,458,0.07895224355942358,0.13086279890318567,2
31,37,453,0.07895224355942358,0.13086279890318567,2
31,37,457,0.07852655062592627,0.13086279890318567,2
32,37,464,0.10839009239113298,0.13086279890318567,2
32,37,461,0.10839009239113298,0.13086279890318567,2
32,37,463,0.10839009239113298,0.13086279890318567,2
32,37,463,0.10839009239113298,0.13086279890318567,2
32,37,468,0.10839009239113298,0.13086279890318567,2
32,37,468,0.10839009239113298,0.13086279890318567,2
31,37,463,0.07895224355942358,0.13086279890318567,2
31,37,463,0.07895224355942358,0.13086279890318567,2
31,37,462,0.07895224355942358,0.13086279890318567,2
31,37,462,0.07895224355942358,0.13086279890318567,2
31,37,457,0.07895224355942358,0.13086279890318567,2
31,37,453,0.07895224355942358,0.13086279890318567,2
31,37,457,0.07895224355942358,0.13086279890318567,2
31,37,454,0.07895224355942358,0.13086279890318567,3
